市区町丁,ひったくり,オートバイ盗,自動販売機ねらい,自動車盗,自転車盗,車上ねらい,部品ねらい
豊島区西池袋４丁目,0,0,0,0,9,0,0
豊島区西池袋５丁目,0,0,0,0,9,0,0
豊島区要町１丁目,0,0,0,0,29,1,1
豊島区要町２丁目,0,1,0,0,4,0,1
豊島区要町３丁目,0,0,0,0,17,1,0
豊島区長崎１丁目,0,0,0,0,8,0,0
豊島区長崎２丁目,0,0,0,0,7,3,4
豊島区長崎３丁目,0,0,0,0,4,0,4
豊島区長崎４丁目,0,0,0,0,6,0,0
豊島区長崎５丁目,0,0,0,0,2,0,0
豊島区長崎６丁目,0,0,0,0,9,0,0
豊島区雑司が谷１丁目,0,0,0,0,1,0,0
豊島区雑司が谷２丁目,0,0,0,0,4,0,0
豊島区雑司が谷３丁目,0,0,0,0,5,0,0
豊島区駒込１丁目,1,0,0,0,5,0,0
豊島区駒込２丁目,0,0,0,0,2,0,0
豊島区駒込３丁目,0,0,0,0,2,0,0
豊島区駒込６丁目,0,0,0,0,1,1,0
豊島区高松１丁目,0,0,0,0,3,0,0
豊島区高松２丁目,0,0,0,0,8,1,0
豊島区高松３丁目,0,0,0,0,2,0,0
豊島区高田１丁目,0,0,0,0,7,1,1
豊島区高田２丁目,0,0,0,0,4,0,2
豊島区高田３丁目,0,0,1,0,11,0,0
