市区町丁,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
新宿区西新宿３丁目,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,0,0,1,0
新宿区西新宿４丁目,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,7,1,4,3,1,2
新宿区西新宿５丁目,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,4,0,1,0,0,0
新宿区西新宿６丁目,1,1,0,0,2,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,2
新宿区西新宿７丁目,1,2,0,0,1,0,0,0,2,1,2,0,0,1,1,1,2,1,1,0,1,4,1,1
新宿区西新宿８丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0
新宿区西早稲田１丁目,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,1,0,0,1,0
新宿区西早稲田２丁目,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,3
新宿区西早稲田３丁目,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,1
新宿区西落合１丁目,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,2,0,0,2,1,0,0
新宿区西落合２丁目,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
新宿区西落合３丁目,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,1,0,0,0
新宿区西落合４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
新宿区霞ヶ丘町,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
新宿区須賀町,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区馬場下町,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区高田馬場１丁目,0,0,1,0,1,0,0,0,1,0,1,0,2,1,2,0,0,0,0,1,2,2,0,2
新宿区高田馬場２丁目,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,2,2,0,3,0,1,0,1,0
新宿区高田馬場３丁目,0,0,1,0,0,1,0,3,2,0,0,1,0,0,1,1,1,2,1,2,1,2,2,0
新宿区高田馬場４丁目,0,1,0,0,0,0,0,0,1,1,1,0,2,0,1,1,2,1,1,1,0,1,1,0
渋谷区上原１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
渋谷区上原２丁目,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
渋谷区上原３丁目,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
渋谷区代々木１丁目,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0
渋谷区代々木２丁目,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,2,1,0,1,1,0,0,1,2
渋谷区代々木３丁目,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,3
渋谷区代々木４丁目,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0
渋谷区代々木５丁目,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
渋谷区代官山町,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
渋谷区元代々木町,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,1,1
渋谷区円山町,1,3,1,2,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,1,1,0,1,1
渋谷区初台１丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1
渋谷区初台２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
渋谷区南平台町,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
渋谷区大山町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
渋谷区宇田川町,1,2,0,0,0,0,0,1,0,0,2,2,2,0,1,2,2,1,1,1,2,2,1,0
渋谷区広尾１丁目,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
渋谷区広尾２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
渋谷区広尾４丁目,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
渋谷区広尾５丁目,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
渋谷区恵比寿南１丁目,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
